player,team,x,y,shot_statsbomb_xg,shot_outcome,shot_type,shot_body_part,shot_technique,shot_first_time,shot_one_on_one,shot_open_goal,under_pressure,minute,period,match_id,dist_to_goal,shot_angle,shot_zone,is_goal,is_on_target,shot_outcome_clean
Mark Anthony Kaye,Canada,96.5,40.7,0.038882375,Blocked,Open Play,Left Foot,Normal,True,,,True,2,1,3857276,23.51,1.71,Edge of Box,0,0,Blocked
Hakim Ziyech,Morocco,83.9,45.0,0.024477394,Goal,Open Play,Left Foot,Lob,True,,,,3,1,3857276,36.44,7.89,Long Range,1,1,Goal
Abdelhamid Sabiri,Morocco,86.8,38.4,0.02207015,Blocked,Free Kick,Right Foot,Normal,,,,,8,1,3857276,33.24,2.76,Long Range,0,0,Blocked
Sofiane Boufal,Morocco,107.0,48.3,0.06158555,Wayward,Open Play,Left Foot,Half Volley,,,,,9,1,3857276,15.42,32.56,Penalty Area,0,0,Off Target
Tajon Buchanan,Canada,113.3,34.9,0.27914461,Off T,Open Play,Right Foot,Half Volley,True,,,,14,1,3857276,8.42,37.28,Central (12m),0,0,Off Target
Hakim Ziyech,Morocco,97.5,54.0,0.022624016,Off T,Open Play,Left Foot,Normal,,,,,15,1,3857276,26.5,31.89,Edge of Box,0,0,Off Target
Youssef En-Nesyri,Morocco,107.6,53.2,0.10405799,Goal,Open Play,Right Foot,Half Volley,,True,,,22,1,3857276,18.11,46.79,Penalty Area,1,1,Goal
Abdelhamid Sabiri,Morocco,107.9,34.2,0.09711841,Blocked,Open Play,Right Foot,Normal,True,,,,32,1,3857276,13.42,25.61,Penalty Area,0,0,Blocked
Youssef En-Nesyri,Morocco,106.8,46.7,0.094470315,Wayward,Open Play,Right Foot,Volley,True,,,,47,1,3857276,14.8,26.91,Penalty Area,0,0,Off Target
Alphonso Davies,Canada,105.1,41.2,0.051903803,Off T,Open Play,Left Foot,Volley,True,,,,57,2,3857276,14.95,4.6,Penalty Area,0,0,Off Target
Atiba Hutchinson,Canada,112.2,37.7,0.086874224,Post,Open Play,Head,Normal,,,,True,70,2,3857276,8.13,16.43,Central (12m),0,0,Post
Alistair Johnston,Canada,118.8,41.6,0.638813,Off T,Open Play,Head,Normal,,,True,True,70,2,3857276,2.0,53.13,Six Yard Box,0,0,Off Target
Harry Maguire,England,115.4,29.4,0.23307544,Off T,Open Play,Left Foot,Half Volley,True,,,,7,1,3857271,11.56,66.54,Central (12m),0,0,Off Target
Bukayo Saka,England,101.1,55.3,0.028282227,Saved,Open Play,Left Foot,Normal,,,,,26,1,3857271,24.32,38.99,Edge of Box,0,1,Saved
Mason Mount,England,113.4,49.1,0.06697492,Off T,Open Play,Right Foot,Normal,True,,,,29,1,3857271,11.24,54.05,Central (12m),0,0,Off Target
Harry Maguire,England,110.5,40.7,0.06988547,Post,Open Play,Head,Normal,,,,True,31,1,3857271,9.53,4.21,Central (12m),0,0,Post
Jude Bellingham,England,112.0,38.0,0.08285139,Goal,Open Play,Head,Normal,,,,True,34,1,3857271,8.25,14.04,Central (12m),1,1,Goal
Bukayo Saka,England,104.1,38.5,0.061030492,Goal,Open Play,Left Foot,Half Volley,True,,,,42,1,3857271,15.97,5.39,Penalty Area,1,1,Goal
Raheem Sterling,England,111.0,42.8,0.1885282,Goal,Open Play,Right Foot,Volley,True,,,,45,1,3857271,9.43,17.28,Central (12m),1,1,Goal
Alireza Jahanbakhsh,Iran,106.4,48.8,0.11232807,Off T,Open Play,Right Foot,Volley,True,,,,55,1,3857271,16.2,32.91,Penalty Area,0,0,Off Target
