group,team,confederation,strength
A,Brazil,CONMEBOL,2040
A,Switzerland,UEFA,1780
A,Morocco,CAF,1720
A,Serbia,UEFA,1650
B,France,UEFA,2030
B,Denmark,UEFA,1810
B,Peru,CONMEBOL,1560
B,Tunisia,CAF,1530
C,Spain,UEFA,2000
C,Japan,AFC,1730
C,Chile,CONMEBOL,1590
C,Cameroon,CAF,1570
D,Argentina,CONMEBOL,2080
D,Netherlands,UEFA,1950
D,Senegal,CAF,1680
D,Ecuador,CONMEBOL,1620
E,England,UEFA,1980
E,USA,CONCACAF,1730
E,Wales,UEFA,1650
E,Iran,AFC,1590
F,Germany,UEFA,1990
F,Colombia,CONMEBOL,1740
F,Mexico,CONCACAF,1700
F,South Korea,AFC,1680
G,Portugal,UEFA,1970
G,Belgium,UEFA,1920
G,Uruguay,CONMEBOL,1790
G,Ghana,CAF,1530
H,Italy,UEFA,1900
H,Croatia,UEFA,1830
H,Australia,AFC,1590
H,Nigeria,CAF,1580
I,Poland,UEFA,1700
I,Canada,CONCACAF,1680
I,Algeria,CAF,1590
I,Saudi Arabia,AFC,1580
J,Austria,UEFA,1710
J,Ivory Coast,CAF,1650
J,Venezuela,CONMEBOL,1540
J,Indonesia,AFC,1350
K,Turkey,UEFA,1700
K,DR Congo,CAF,1520
K,Uzbekistan,AFC,1510
K,Panama,CONCACAF,1490
L,Sweden,UEFA,1690
L,Egypt,CAF,1620
L,Jamaica,CONCACAF,1470
L,New Zealand,OFC,1420
