match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,status,home_xg_x,away_xg_x,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name,referee_id_x,referee_name_full,referee_country,avg_cards_per_game,home_xg_y,away_xg_y,referee_id_y,player_of_the_match_id,capacity,latitude,longitude,elevation_meters,total_goals,is_completed
1,2026-06-11,19:00,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Mexico,MEX,South Africa,RSA,2.0,0.0,Completed,1.84,0.52,Francisco Guillermo Ochoa,Ronwen Hayden Williams,Julián Andrés Quinones,Szymon Marciniak,1,Szymon Marciniak,Poland,4.2,1.84,0.52,1,16.0,80824,19.3031,-99.1506,2200,2.0,1
2,2026-06-11,23:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,South Korea,KOR,Czechia,CZE,2.0,1.0,Completed,1.45,1.12,Seunggyu Kim,Mat ě j Kovar,Inbeom Hwang,Daniele Orsato,2,Daniele Orsato,Italy,4.8,1.45,1.12,2,58.0,48070,20.6811,-103.4628,1566,3.0,1
3,2026-06-12,19:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Canada,CAN,Bosnia and Herzegovina,BIH,1.0,1.0,Completed,1.35,0.98,Maxime Crepeau,Nikola Vasilj,Ismaël Kenneth Jordan Kone,Michael Oliver,3,Michael Oliver,England,3.9,1.35,0.98,3,112.0,30000,43.6328,-79.4186,76,2.0,1
4,2026-06-12,23:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,USA,USA,Paraguay,PAR,4.0,1.0,Completed,2.76,0.88,Matthew Charles Turner,Roberto Junior Fernandez,Folarin Jolaoluwa Balogun,Anthony Taylor,4,Anthony Taylor,England,4.1,2.76,0.88,4,332.0,70240,33.9535,-118.339,30,5.0,1
5,2026-06-13,15:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Qatar,QAT,Switzerland,SUI,1.0,1.0,Completed,0.78,1.54,Ibrahim Mahmoud Abunada,Gregor Kobel,Ibrahim Mahmoud Abunada,Clément Turpin,5,Clément Turpin,France,3.6,0.78,1.54,5,157.0,65878,42.0909,-71.2643,87,2.0,1
6,2026-06-13,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Brazil,BRA,Morocco,MAR,1.0,1.0,Completed,1.62,1.1,Ramsés Alisson,Yassine Bounou,José Vinicius,Danny Makkelie,6,Danny Makkelie,Netherlands,3.8,1.62,1.1,6,215.0,82500,40.8136,-74.0744,7,2.0,1
7,2026-06-13,21:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Haiti,HAI,Scotland,SCO,0.0,1.0,Completed,1.25,0.65,Johny Placide,Angus Fraser James Gunn,John McGinn,Jesús Valenzuela,7,Jesús Valenzuela,Venezuela,4.9,1.25,0.65,7,293.0,69796,39.9008,-75.1675,3,1.0,1
8,2026-06-13,23:59,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Australia,AUS,Türkiye,TUR,2.0,0.0,Completed,1.48,0.72,Mathew David Ryan,Fehmi Mert Gunok,Nestory Irankunda,Wilton Sampaio,8,Wilton Sampaio,Brazil,4.5,1.48,0.72,8,381.0,69000,47.5952,-122.3316,3,2.0,1
9,2026-06-14,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Germany,GER,Curaçao,CUW,7.0,1.0,Completed,4.82,0.44,Manuel Peter Neuer,Eloy Victor Room,Kai Lukas Havertz,César Arturo Ramos,9,César Arturo Ramos,Mexico,4.0,4.82,0.44,9,423.0,71000,33.7553,-84.4017,318,8.0,1
10,2026-06-14,18:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Netherlands,NED,Japan,JPN,2.0,2.0,Completed,1.95,1.82,Bart Verbruggen,Zion Suzuki,Virgil Van Dijk,Ivan Barton,10,Ivan Barton,El Salvador,5.1,1.95,1.82,10,524.0,68500,37.4033,-121.9698,8,4.0,1
11,2026-06-14,21:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Côte d'Ivoire,CIV,Ecuador,ECU,1.0,0.0,Completed,1.1,0.95,Yahia Fofana,Hernán Ismael Galindez,Yan Diomande,Mustapha Ghorbal,11,Mustapha Ghorbal,Algeria,3.7,1.1,0.95,11,479.0,72220,29.6847,-95.4082,14,1.0,1
12,2026-06-14,23:59,Group Stage,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Sweden,SWE,Tunisia,TUN,5.0,1.0,Completed,3.12,0.78,Jacob Mikael Widell Zetterstrom,Aymen Dahmen,Alexander Isak,Victor Gomes,12,Victor Gomes,South Africa,4.3,3.12,0.78,12,581.0,76416,39.0489,-94.4839,264,6.0,1
13,2026-06-15,15:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Spain,ESP,Cabo Verde,CPV,0.0,0.0,Completed,2.15,0.35,Unai Simon,José Vozinha,José Vozinha,Ma Ning,13,Ma Ning,China,5.5,2.15,0.35,13,755.0,64767,25.9581,-80.2389,2,0.0,1
14,2026-06-15,18:00,Group Stage,Dallas Stadium (AT&T Stadium),Arlington,USA,Belgium,BEL,Egypt,EGY,1.0,1.0,Completed,1.58,1.12,Thibaut Nicolas Courtois,Elsayed Mohamed Mohamed Elshenawy,Ashour Metwaly Emam,Alireza Faghani,14,Alireza Faghani,Australia,4.2,1.58,1.12,14,658.0,80000,32.7473,-97.0928,184,2.0,1
15,2026-06-15,21:00,Group Stage,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Saudi Arabia,KSA,Uruguay,URU,1.0,1.0,Completed,0.85,1.76,Khalil Mohammed Alowais,Sergio Ramón Rochet,Khalil Mohammed Alowais,Yoshimi Yamashita,15,Yoshimi Yamashita,Japan,3.4,0.85,1.76,15,801.0,53500,25.669,-100.2444,538,2.0,1
16,2026-06-15,23:59,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,IR Iran,IRN,New Zealand,NZL,2.0,2.0,Completed,1.88,1.2,Ali Reza Beiranvand,Maxime Teremoana Crocombe,Ramin Rezaeian,Facundo Tello,16,Facundo Tello,Argentina,5.0,1.88,1.2,16,699.0,54500,49.2768,-123.112,9,4.0,1
17,2026-06-16,15:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,France,FRA,Senegal,SEN,3.0,1.0,Completed,2.44,1.05,Mike Peterson Maignan,Edouard Osoque Mendy,Michael Akpovie Olise,Szymon Marciniak,1,Szymon Marciniak,Poland,4.2,2.44,1.05,1,843.0,82500,40.8136,-74.0744,7,4.0,1
18,2026-06-16,18:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Iraq,IRQ,Norway,NOR,1.0,4.0,Completed,0.68,2.85,Talib Raheem Fahad Talib,Ørjan Haskjold Nyland,Erling Braut Haaland,Daniele Orsato,2,Daniele Orsato,Italy,4.8,0.68,2.85,2,919.0,65878,42.0909,-71.2643,87,5.0,1
19,2026-06-16,21:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Argentina,ARG,Algeria,ALG,3.0,0.0,Completed,2.65,0.42,Damián Emiliano Martinez,Melvin Feycal Mastil,Lionel Andrés Messi,Michael Oliver,3,Michael Oliver,England,3.9,2.65,0.42,3,946.0,70240,33.9535,-118.339,30,3.0,1
20,2026-06-16,23:59,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Austria,AUT,Jordan,JOR,3.0,1.0,Completed,1.98,0.88,Alexander Schlager,Mo'ien Hasan Yazeed Abulaila,Iyad Ali Ali Olwan,Anthony Taylor,4,Anthony Taylor,England,4.1,1.98,0.88,4,1023.0,68500,37.4033,-121.9698,8,4.0,1
21,2026-06-17,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Portugal,POR,Congo DR,COD,1.0,1.0,Completed,1.78,1.15,Diogo Diogo Costa,Lionel Nzau Mpasi,Pedro Joao Neves,Clément Turpin,5,Clément Turpin,France,3.6,1.78,1.15,5,1055.0,71000,33.7553,-84.4017,318,2.0,1
22,2026-06-17,18:00,Group Stage,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,England,ENG,Croatia,CRO,4.0,2.0,Completed,2.92,1.64,Jordan Lee Pickford,Dominik Livakovic,Harry Edward Kane,Danny Makkelie,6,Danny Makkelie,Netherlands,3.8,2.92,1.64,6,1153.0,64767,25.9581,-80.2389,2,6.0,1
23,2026-06-17,21:00,Group Stage,Houston Stadium (NRG Stadium),Houston,USA,Ghana,GHA,Panama,PAN,1.0,0.0,Completed,1.3,0.75,Lawrence Ati Zigi,Luis Ricardo Mejia,Antoine Serlom Semenyo,Jesús Valenzuela,7,Jesús Valenzuela,Venezuela,4.9,1.3,0.75,7,1207.0,72220,29.6847,-95.4082,14,1.0,1
24,2026-06-17,23:59,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Uzbekistan,UZB,Colombia,COL,1.0,3.0,Completed,0.95,2.1,Utkir Yusupov,David Ospina,Luis Fernando Diaz,Wilton Sampaio,8,Wilton Sampaio,Brazil,4.5,0.95,2.1,8,1125.0,69000,47.5952,-122.3316,3,4.0,1
25,2026-06-18,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Mexico,MEX,South Korea,KOR,1.0,0.0,Completed,1.62,0.58,Francisco Guillermo Ochoa,Seunggyu Kim,Luis Francisco Romo,César Arturo Ramos,9,César Arturo Ramos,Mexico,4.0,1.62,0.58,9,7.0,71000,33.7553,-84.4017,318,1.0,1
26,2026-06-18,18:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Czechia,CZE,South Africa,RSA,1.0,1.0,Completed,1.35,1.15,Mat ě j Kovar,Ronwen Hayden Williams,Michal Sadilek,Ivan Barton,10,Ivan Barton,El Salvador,5.1,1.35,1.15,10,96.0,70240,33.9535,-118.339,30,2.0,1
27,2026-06-18,21:00,Group Stage,Vancouver Stadium (BC Place),Vancouver,CAN,Canada,CAN,Qatar,QAT,6.0,0.0,Completed,3.82,0.22,Maxime Crepeau,Ibrahim Mahmoud Abunada,Jonathan Christian David,Mustapha Ghorbal,11,Mustapha Ghorbal,Algeria,3.7,3.82,0.22,11,114.0,54500,49.2768,-123.112,9,6.0,1
28,2026-06-18,23:59,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Switzerland,SUI,Bosnia and Herzegovina,BIH,4.0,1.0,Completed,2.45,0.88,Gregor Kobel,Nikola Vasilj,Johan Kula Manzambi,Victor Gomes,12,Victor Gomes,South Africa,4.3,2.45,0.88,12,191.0,80824,19.3031,-99.1506,2200,5.0,1
