match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,status,home_xg,away_xg,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name,venue_id,referee_id,player_of_the_match_id,is_knockout,capacity,latitude,longitude,elevation_meters,ref_name,ref_country,avg_cards_per_game,potm_name,total_goals,total_xg,home_xg_over,away_xg_over
1,2026-06-11,19:00,Group Stage,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Mexico,MEX,South Africa,RSA,2.0,0.0,Completed,1.84,0.52,Francisco Guillermo Ochoa,Ronwen Hayden Williams,Julián Andrés Quinones,Szymon Marciniak,1,1,16.0,False,80824,19.3031,-99.1506,2200,Szymon Marciniak,Poland,4.2,Julián Andrés Quinones,2.0,2.3600000000000003,0.16,-0.52
2,2026-06-11,23:00,Group Stage,Guadalajara Stadium (Estadio Akron),Zapopan,MEX,South Korea,KOR,Czechia,CZE,2.0,1.0,Completed,1.45,1.12,Seunggyu Kim,Mat ě j Kovar,Inbeom Hwang,Daniele Orsato,7,2,58.0,False,48070,20.6811,-103.4628,1566,Daniele Orsato,Italy,4.8,Inbeom Hwang,3.0,2.5700000000000003,0.55,-0.12
3,2026-06-12,19:00,Group Stage,Toronto Stadium (BMO Field),Toronto,CAN,Canada,CAN,Bosnia and Herzegovina,BIH,1.0,1.0,Completed,1.35,0.98,Maxime Crepeau,Nikola Vasilj,Ismaël Kenneth Jordan Kone,Michael Oliver,6,3,112.0,False,30000,43.6328,-79.4186,76,Michael Oliver,England,3.9,Ismaël Kenneth Jordan Kone,2.0,2.33,-0.35,0.02
4,2026-06-12,23:00,Group Stage,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,USA,USA,Paraguay,PAR,4.0,1.0,Completed,2.76,0.88,Matthew Charles Turner,Roberto Junior Fernandez,Folarin Jolaoluwa Balogun,Anthony Taylor,3,4,332.0,False,70240,33.9535,-118.339,30,Anthony Taylor,England,4.1,Folarin Jolaoluwa Balogun,5.0,3.6399999999999997,1.24,0.12
5,2026-06-13,15:00,Group Stage,Boston Stadium (Gillette Stadium),Foxborough,USA,Qatar,QAT,Switzerland,SUI,1.0,1.0,Completed,0.78,1.54,Ibrahim Mahmoud Abunada,Gregor Kobel,Ibrahim Mahmoud Abunada,Clément Turpin,10,5,157.0,False,65878,42.0909,-71.2643,87,Clément Turpin,France,3.6,Ibrahim Mahmoud Abunada,2.0,2.3200000000000003,0.22,-0.54
6,2026-06-13,18:00,Group Stage,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,Brazil,BRA,Morocco,MAR,1.0,1.0,Completed,1.62,1.1,Ramsés Alisson,Yassine Bounou,José Vinicius,Danny Makkelie,2,6,215.0,False,82500,40.8136,-74.0744,7,Danny Makkelie,Netherlands,3.8,José Vinicius,2.0,2.72,-0.62,-0.1
7,2026-06-13,21:00,Group Stage,Philadelphia Stadium (Lincoln Financial Field),Philadelphia,USA,Haiti,HAI,Scotland,SCO,0.0,1.0,Completed,1.25,0.65,Johny Placide,Angus Fraser James Gunn,John McGinn,Jesús Valenzuela,14,7,293.0,False,69796,39.9008,-75.1675,3,Jesús Valenzuela,Venezuela,4.9,Mc,1.0,1.9,-1.25,0.35
8,2026-06-13,23:59,Group Stage,Seattle Stadium (Lumen Field),Seattle,USA,Australia,AUS,Türkiye,TUR,2.0,0.0,Completed,1.48,0.72,Mathew David Ryan,Fehmi Mert Gunok,Nestory Irankunda,Wilton Sampaio,16,8,381.0,False,69000,47.5952,-122.3316,3,Wilton Sampaio,Brazil,4.5,Nestory Irankunda,2.0,2.2,0.52,-0.72
9,2026-06-14,15:00,Group Stage,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,Germany,GER,Curaçao,CUW,7.0,1.0,Completed,4.82,0.44,Manuel Peter Neuer,Eloy Victor Room,Kai Lukas Havertz,César Arturo Ramos,9,9,423.0,False,71000,33.7553,-84.4017,318,César Arturo Ramos,Mexico,4.0,Kai Lukas Havertz,8.0,5.260000000000001,2.18,0.56
10,2026-06-14,18:00,Group Stage,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,Netherlands,NED,Japan,JPN,2.0,2.0,Completed,1.95,1.82,Bart Verbruggen,Zion Suzuki,Virgil Van Dijk,Ivan Barton,15,10,524.0,False,68500,37.4033,-121.9698,8,Ivan Barton,El Salvador,5.1,Virgil Van Dijk,4.0,3.77,0.05,0.18
