player_name,full_name,national_team,position,pos_group,age_2026,overall_rating,national_rating,finishing,positioning,sprint_speed,dribbling,vision,age_factor,goal_prob_per_game,expected_games,expected_goals,expected_assists,expected_g_plus_a,confederation,group
K. Mbappé,Kylian Mbappé,France,"RW,ST,RM",Attacker,27,88,84.0,88,88,96,90,82,1.0,0.5227,6.8,3.55,1.21,4.77,UEFA,B
O. Dembélé,Ousmane Dembélé,France,"RW,LW",Attacker,28,84,84.0,78,79,93,91,84,1.0,0.4906,6.8,3.34,1.2,4.54,UEFA,B
L. Sané,Leroy Sané,Germany,LW,Attacker,30,86,85.0,81,84,96,88,82,0.95,0.4801,6.8,3.26,1.17,4.43,UEFA,F
L. Martínez,Lautaro Martínez,Argentina,ST,Attacker,28,79,82.0,82,79,83,78,72,1.0,0.4763,6.8,3.24,0.98,4.21,CONMEBOL,D
T. Werner,Timo Werner,Germany,ST,Attacker,30,84,85.0,87,85,93,83,61,0.95,0.4771,6.8,3.24,1.0,4.24,UEFA,F
Marco Asensio,Marco Asensio Willemsen,Spain,"LW,RW",Attacker,30,84,85.0,80,82,82,85,82,0.95,0.4729,6.8,3.22,1.23,4.45,UEFA,C
Neymar Jr,Neymar da Silva Santos Junior,Brazil,"LW,CAM",Attacker,34,92,81.0,87,89,90,96,88,0.85,0.4501,6.8,3.06,1.29,4.35,CONMEBOL,A
A. Griezmann,Antoine Griezmann,France,"CF,ST",Attacker,34,89,84.0,89,91,85,87,85,0.85,0.448,6.8,3.05,1.25,4.3,UEFA,B
G. Simeone,Giovanni Pablo Simeone,Argentina,ST,Attacker,30,78,82.0,79,80,78,76,60,0.95,0.4426,6.8,3.01,0.94,3.95,CONMEBOL,D
M. Rashford,Marcus Rashford,England,"ST,LW,RW",Attacker,28,83,82.0,79,84,93,84,76,1.0,0.497,6.0,2.98,0.98,3.97,UEFA,E
M. Icardi,Mauro Emanuel Icardi Rivero,Argentina,ST,Attacker,33,87,82.0,91,92,78,77,64,0.85,0.4359,6.8,2.96,0.99,3.95,CONMEBOL,D
A. Januzaj,Adnan Januzaj,Belgium,"RW,RM",Attacker,31,79,85.0,71,76,76,85,80,0.95,0.4326,6.8,2.94,1.18,4.12,UEFA,G
R. De Paul,Rodrigo Javier De Paul,Argentina,"LW,RW,CF",Attacker,31,77,82.0,68,75,74,83,75,0.95,0.4268,6.8,2.9,1.14,4.04,CONMEBOL,D
R. Lukaku,Romelu Lukaku,Belgium,ST,Attacker,32,86,85.0,86,87,90,78,73,0.85,0.4226,6.8,2.87,1.11,3.99,UEFA,G
R. Sterling,Raheem Sterling,England,"RW,LW",Attacker,31,87,82.0,79,89,92,88,79,0.95,0.4745,6.0,2.85,1.05,3.89,UEFA,E
Louri Beretta,Lourival Adnan Beretta Barbosa,Brazil,"ST,CF",Attacker,34,83,81.0,85,83,83,75,58,0.85,0.416,6.8,2.83,0.93,3.76,CONMEBOL,A
S. Bergwijn,Steven Bergwijn,Netherlands,"LW,RW",Attacker,28,80,81.0,74,77,89,87,75,1.0,0.4699,6.0,2.82,0.95,3.77,UEFA,D
M. Batshuayi,Michy Batshuayi Tunga,Belgium,ST,Attacker,32,80,85.0,82,84,76,78,62,0.85,0.4113,6.8,2.8,0.88,3.68,UEFA,G
T. Hazard,Thorgan Hazard,Belgium,"RW,LW,CF",Attacker,32,83,85.0,76,84,77,87,83,0.85,0.4117,6.8,2.8,1.21,4.01,UEFA,G
Morata,Álvaro Borja Morata Martín,Spain,ST,Attacker,33,82,85.0,80,85,86,83,76,0.85,0.4121,6.8,2.8,1.08,3.88,UEFA,C
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,Brazil,"RW,CAM",Attacker,34,83,81.0,74,82,87,85,83,0.85,0.4083,6.8,2.78,1.24,4.02,CONMEBOL,A
F. Chiesa,Federico Chiesa,Italy,"RW,CF",Attacker,28,79,83.0,70,76,85,84,73,1.0,0.4607,6.0,2.76,0.96,3.72,UEFA,H
André Silva,André Miguel Valente da Silva,Portugal,ST,Attacker,30,80,82.0,83,84,78,77,68,0.95,0.4533,6.0,2.72,0.89,3.61,UEFA,G
Suso,Jesús Joaquín Fernández Sáez,Spain,"RW,CF",Attacker,32,83,85.0,70,76,77,88,84,0.85,0.3968,6.8,2.7,1.24,3.94,UEFA,C
H. Kane,Harry Kane,England,ST,Attacker,32,90,82.0,94,93,72,80,81,0.85,0.4501,6.0,2.7,1.08,3.78,UEFA,E
D. Berardi,Domenico Berardi,Italy,"RW,ST",Attacker,31,78,83.0,74,77,79,80,71,0.95,0.4443,6.0,2.67,0.98,3.64,UEFA,H
S. Agüero,Sergio Leonel Agüero del Castillo,Argentina,ST,Attacker,37,89,82.0,93,92,80,89,83,0.72,0.3901,6.8,2.65,1.18,3.84,CONMEBOL,D
E. Hazard,Eden Hazard,Belgium,"LW,CF",Attacker,35,91,85.0,84,87,88,95,89,0.72,0.3753,6.8,2.55,1.32,3.87,UEFA,G
L. Insigne,Lorenzo Insigne,Italy,"LW,ST",Attacker,34,88,83.0,77,83,86,90,87,0.85,0.42,6.0,2.52,1.12,3.64,UEFA,H
M. Depay,Memphis Depay,Netherlands,"CF,LW,CAM",Attacker,32,84,81.0,78,83,87,84,85,0.85,0.4204,6.0,2.52,1.07,3.59,UEFA,D
J. Lingard,Jesse Lingard,England,"RW,CAM,CF",Attacker,33,82,82.0,79,86,82,84,82,0.85,0.4184,6.0,2.51,1.03,3.54,UEFA,E
Rodrigo,Rodrigo Moreno Machado,Spain,ST,Attacker,35,83,85.0,78,83,91,82,74,0.72,0.3501,6.8,2.38,1.09,3.47,UEFA,C
K. Lasagna,Kevin Lasagna,Italy,ST,Attacker,33,77,83.0,78,80,88,76,58,0.85,0.394,6.0,2.36,0.8,3.16,UEFA,H
C. Immobile,Ciro Immobile,Italy,ST,Attacker,36,87,83.0,90,91,85,83,65,0.72,0.3739,6.0,2.24,0.88,3.12,UEFA,H
