player_id,player_name,team_name,position,club_team,market_value_M,caps,current_goals,current_assists,current_mins,goals_per_90,group_letter,confederation,fifa_code,elo_rating
946,Lionel Andrés Messi,Argentina,FWD,Inter Miami CF,15.0,200,6,0,90,6.0,J,CONMEBOL,ARG,2150
215,José Vinicius,Brazil,FWD,Real Madrid C. F.,140.0,50,4,1,270,1.333,C,CONMEBOL,BRA,2030
839,Masour Ousmane Dembele,France,FWD,Paris Saint-Germain,100.0,60,4,1,60,6.0,I,UEFA,FRA,2100
919,Erling Braut Haaland,Norway,FWD,Manchester City FC,200.0,51,4,0,270,1.333,I,UEFA,NOR,1775
842,Kylian Mbappe,France,FWD,Real Madrid C. F.,180.0,99,4,2,270,1.333,I,UEFA,FRA,2100
217,Matheus Matheus Cunha,Brazil,FWD,Manchester United FC,75.0,24,3,0,270,1.0,C,CONMEBOL,BRA,2030
245,Ismael Saibari,Morocco,MID,PSV Eindhoven,40.0,31,3,0,270,1.0,C,CAF,MAR,1920
442,Deniz Undav,Germany,FWD,VfB Stuttgart,22.0,10,3,2,60,4.5,E,UEFA,GER,1970
114,Jonathan Christian David,Canada,FWD,Juventus FC,30.0,78,3,0,360,0.75,B,CONCACAF,CAN,1795
191,Johan Kula Manzambi,Switzerland,MID,SC Freiburg,50.0,13,3,1,270,1.0,B,UEFA,SUI,1860
1086,Yoane Wissa,Congo DR,FWD,Newcastle United FC,25.0,39,3,0,270,1.0,K,CAF,COD,1670
713,Elijah Henry Just,New Zealand,MID,Motherwell FC,2.5,45,3,0,270,1.0,G,OFC,NZL,1510
876,Ismaila Sarr,Senegal,FWD,Crystal Palace FC,40.0,85,3,1,270,1.0,I,CAF,SEN,1840
1153,Harry Edward Kane,England,FWD,FC Bayern München,60.0,115,3,0,60,4.5,L,UEFA,ENG,2050
539,Brian Ebenezer Adjei Brobbey,Netherlands,FWD,Sunderland AFC,30.0,13,3,0,60,4.5,F,UEFA,NED,1980
332,Folarin Jolaoluwa Balogun,USA,FWD,AS Monaco,40.0,28,2,0,270,0.667,D,CONCACAF,USA,1850
487,Nicolas Pepe,Côte d'Ivoire,FWD,Villarreal CF,6.0,57,2,0,30,6.0,E,CAF,CIV,1750
423,Kai Lukas Havertz,Germany,FWD,Arsenal FC,55.0,59,2,0,270,0.667,E,UEFA,GER,1970
16,Julián Andrés Quinones,Mexico,FWD,Al Qadsiah FC,14.0,23,2,0,60,3.0,A,CONCACAF,MEX,1810
113,Cyle Christopher Larin,Canada,FWD,Southampton FC,3.5,91,2,0,60,3.0,B,CONCACAF,CAN,1795
156,Ermin Mahmic,Bosnia and Herzegovina,MID,FC Slovan Liberec,5.0,2,2,0,270,0.667,B,UEFA,BIH,1645
199,Ruben Estephan Vargas,Switzerland,FWD,Sevilla FC,12.0,62,2,1,60,3.0,B,UEFA,SUI,1860
902,Hussein Ghadhban Aymen,Iraq,FWD,Al Karma SC,0.4,96,2,0,30,6.0,I,AFC,IRQ,1630
995,Marko Arnautovic,Austria,FWD,FK Crvena Zvezda,2.0,134,2,0,60,3.0,J,UEFA,AUT,1830
1047,Ronaldo Cristiano Ronaldo,Portugal,FWD,Al Nassr FC,10.0,229,2,0,30,6.0,K,UEFA,POR,2010
749,Mikel Oyarzabal,Spain,FWD,Real Sociedad,25.0,54,2,1,30,6.0,H,UEFA,ESP,2120
699,Ramin Rezaeian,IR Iran,DEF,Foolad Khuzestan FC,0.25,75,2,1,60,3.0,G,AFC,IRN,1820
1120,Daniel Munoz,Colombia,DEF,Crystal Palace FC,22.0,47,2,0,270,0.667,K,CONMEBOL,COL,1990
583,Anthony David Junior Elanga,Sweden,FWD,Newcastle United FC,32.0,31,2,0,60,3.0,F,UEFA,SWE,1815
564,Ayase Ueda,Japan,FWD,Feyenoord Rotterdam,17.0,41,2,1,270,0.667,F,AFC,JPN,1880
561,Daichi Kamada,Japan,MID,Crystal Palace FC,10.0,50,2,0,60,3.0,F,AFC,JPN,1880
544,Crysencio Jilbert Sylverio Cir Summerville,Netherlands,FWD,West Ham United FC,35.0,3,2,1,60,3.0,F,UEFA,NED,1980
969,Riyad Karim Mahrez,Algeria,FWD,Al Ahli FC,5.0,117,2,2,60,3.0,J,CAF,ALG,1760
826,Maximiliano Javier Araujo,Uruguay,MID,Sporting CP,35.0,29,2,1,270,0.667,H,CONMEBOL,URU,1960
884,Pape Alassane Gueye,Senegal,MID,Villarreal CF,40.0,43,2,1,270,0.667,I,CAF,SEN,1840
590,Yasin Ayari,Sweden,MID,Brighton & Hove Albion FC,35.0,22,2,0,270,0.667,F,UEFA,SWE,1815
531,Cody Mathès Gakpo,Netherlands,FWD,Liverpool FC,60.0,51,2,1,270,0.667,F,UEFA,NED,1980
634,Leandro Trossard,Belgium,FWD,Arsenal FC,18.0,52,2,0,30,6.0,G,UEFA,BEL,1950
1154,Jude Victor William Bellingham,England,MID,Real Madrid C. F.,130.0,49,2,1,270,0.667,L,UEFA,ENG,2050
166,Khalid Hassan Alhaydos,Qatar,FWD,Al Sadd SC,0.3,190,1,0,30,3.0,B,AFC,QAT,1600
189,Breel Donald Embolo,Switzerland,FWD,Stade Rennais FC,15.0,87,1,2,90,1.0,B,UEFA,SUI,1860
182,Naceur Mohamed Manai,Qatar,FWD,Al Shamal SC,0.5,12,1,0,30,3.0,B,AFC,QAT,1600
184,Miro Max Maria Muheim,Switzerland,DEF,Hamburger SV,5.0,11,1,0,30,3.0,B,UEFA,SUI,1860
7,Luis Francisco Romo,Mexico,MID,CD Guadalajara,3.0,62,1,1,60,1.5,A,CONCACAF,MEX,1810
8,Álvaro Fidalgo,Mexico,MID,Real Betis,6.0,5,1,0,30,3.0,A,CONCACAF,MEX,1810
20,Mateo Chavez,Mexico,DEF,AZ Alkmaar,4.0,10,1,0,30,3.0,A,CONCACAF,MEX,1810
9,Raúl Alonso Jimenez,Mexico,FWD,Fulham FC,3.0,127,1,0,30,3.0,A,CONCACAF,MEX,1810
30,Teboho Mokoena,South Africa,MID,Mamelodi Sundowns FC,2.8,58,1,0,360,0.25,A,CAF,RSA,1620
157,Ibrahim Mahmoud Abunada,Qatar,GK,Al Rayyan SC,0.4,7,1,0,270,0.333,B,AFC,QAT,1600
149,Kerim Alajbegovic,Bosnia and Herzegovina,FWD,FC Red Bull Salzburg,22.0,11,1,0,270,0.333,B,UEFA,BIH,1645
155,Jovo Lukic,Bosnia and Herzegovina,FWD,Universitatea Cluj,2.2,4,1,0,30,3.0,B,UEFA,BIH,1645
111,Stephen Eustaquio,Canada,MID,LAFC,6.0,57,1,0,360,0.25,B,CONCACAF,CAN,1795
128,Promise Oluwatobi Emmanuel David,Canada,FWD,Royale Union Saint-Gilloise,17.0,11,1,1,360,0.25,B,CONCACAF,CAN,1795
129,Nathan-Dylan Saliba,Canada,MID,RSC Anderlecht,7.5,15,1,2,360,0.25,B,CONCACAF,CAN,1795
38,Thapelo Maseko,South Africa,FWD,AEL Limassol,1.2,8,1,0,60,1.5,A,CAF,RSA,1620
58,Inbeom Hwang,South Korea,MID,Feyenoord Rotterdam,7.0,74,1,1,270,0.333,A,AFC,KOR,1800
70,Hyeongyu Oh,South Korea,FWD,Be ş ikta ş  JK,15.0,28,1,0,270,0.333,A,AFC,KOR,1800
85,Ladislav Krejci,Czechia,DEF,Wolverhampton Wanderers FC,22.0,28,1,0,270,0.333,A,UEFA,CZE,1740
96,Michal Sadilek,Czechia,MID,SK Slavia Praha,8.0,36,1,0,270,0.333,A,UEFA,CZE,1740
