referee_id,name,country,avg_cards_per_game,actual_yc,actual_rc,games,actual_cards_pg,strictness_delta
15,Yoshimi Yamashita,Japan,3.4,9,0,4,2.25,-1.15
2,Daniele Orsato,Italy,4.8,5,1,5,1.2,-3.6
9,César Arturo Ramos,Mexico,4.0,5,0,5,1.0,-3.0
6,Danny Makkelie,Netherlands,3.8,5,0,5,1.0,-2.8
16,Facundo Tello,Argentina,5.0,5,1,4,1.5,-3.5
13,Ma Ning,China,5.5,4,0,4,1.0,-4.5
8,Wilton Sampaio,Brazil,4.5,4,0,5,0.8,-3.7
3,Michael Oliver,England,3.9,3,0,5,0.6,-3.3
10,Ivan Barton,El Salvador,5.1,3,0,4,0.75,-4.35
7,Jesús Valenzuela,Venezuela,4.9,3,0,5,0.6,-4.3
1,Szymon Marciniak,Poland,4.2,2,3,5,1.0,-3.2
5,Clément Turpin,France,3.6,2,1,5,0.6,-3.0
12,Victor Gomes,South Africa,4.3,2,1,4,0.75,-3.55
11,Mustapha Ghorbal,Algeria,3.7,2,2,4,1.0,-2.7
4,Anthony Taylor,England,4.1,1,0,5,0.2,-3.9
14,Alireza Faghani,Australia,4.2,0,0,4,0.0,-4.2
