team,played,goals_for,goals_against,wins,draws,losses,goal_diff,points,team_name,group_letter,confederation,fifa_ranking_pre_tournament
Mexico,3,6,0,3,0,0,6,9,Mexico,A,CONCACAF,14
South Africa,3,2,3,1,1,1,-1,4,South Africa,A,CAF,60
South Korea,3,2,3,1,0,2,-1,3,South Korea,A,AFC,22
Czechia,3,2,6,0,1,2,-4,1,Czechia,A,UEFA,40
Switzerland,3,7,3,2,1,0,4,7,Switzerland,B,UEFA,19
Canada,3,8,3,1,1,1,5,4,Canada,B,CONCACAF,33
Bosnia and Herzegovina,3,5,6,1,1,1,-1,4,Bosnia and Herzegovina,B,UEFA,64
Qatar,3,2,10,0,1,2,-8,1,Qatar,B,AFC,56
Brazil,3,7,1,2,1,0,6,7,Brazil,C,CONMEBOL,6
Morocco,3,6,3,2,1,0,3,7,Morocco,C,CAF,7
Scotland,3,1,4,1,0,2,-3,3,Scotland,C,UEFA,39
Haiti,3,2,8,0,0,3,-6,0,Haiti,C,CONCACAF,83
USA,3,8,4,2,0,1,4,6,USA,D,CONCACAF,17
Australia,3,2,2,1,1,1,0,4,Australia,D,AFC,27
Paraguay,3,2,4,1,1,1,-2,4,Paraguay,D,CONMEBOL,54
Türkiye,3,3,5,1,0,2,-2,3,Türkiye,D,UEFA,26
Germany,3,10,4,2,0,1,6,6,Germany,E,UEFA,10
Côte d'Ivoire,3,4,2,2,0,1,2,6,Côte d'Ivoire,E,CAF,38
Ecuador,3,2,2,1,1,1,0,4,Ecuador,E,CONMEBOL,23
Curaçao,3,1,9,0,1,2,-8,1,Curaçao,E,CONCACAF,82
Netherlands,3,10,4,2,1,0,6,7,Netherlands,F,UEFA,8
Japan,3,7,3,1,2,0,4,5,Japan,F,AFC,18
Sweden,3,7,7,1,1,1,0,4,Sweden,F,UEFA,25
Tunisia,3,2,12,0,0,3,-10,0,Tunisia,F,CAF,45
Belgium,3,6,2,1,2,0,4,5,Belgium,G,UEFA,9
Egypt,3,5,3,1,2,0,2,5,Egypt,G,CAF,36
IR Iran,3,3,3,0,3,0,0,3,IR Iran,G,AFC,20
New Zealand,3,4,10,0,1,2,-6,1,New Zealand,G,OFC,85
Spain,3,5,0,2,1,0,5,7,Spain,H,UEFA,2
Cabo Verde,3,2,2,0,3,0,0,3,Cabo Verde,H,CAF,67
Uruguay,3,3,4,0,2,1,-1,2,Uruguay,H,CONMEBOL,16
Saudi Arabia,3,1,5,0,2,1,-4,2,Saudi Arabia,H,AFC,58
France,3,10,2,3,0,0,8,9,France,I,UEFA,3
Norway,3,8,7,2,0,1,1,6,Norway,I,UEFA,44
Senegal,3,8,6,1,0,2,2,3,Senegal,I,CAF,15
Iraq,3,1,12,0,0,3,-11,0,Iraq,I,AFC,55
Argentina,3,8,1,3,0,0,7,9,Argentina,J,CONMEBOL,1
Austria,3,6,6,1,1,1,0,4,Austria,J,UEFA,24
Algeria,3,5,7,1,1,1,-2,4,Algeria,J,CAF,28
Jordan,3,3,8,0,0,3,-5,0,Jordan,J,AFC,63
Colombia,3,4,1,2,1,0,3,7,Colombia,K,CONMEBOL,13
Portugal,3,6,1,1,2,0,5,5,Portugal,K,UEFA,5
Congo DR,3,4,3,1,1,1,1,4,Congo DR,K,CAF,61
Uzbekistan,3,2,11,0,0,3,-9,0,Uzbekistan,K,AFC,50
England,3,6,2,2,1,0,4,7,England,L,UEFA,4
Croatia,3,5,5,2,0,1,0,6,Croatia,L,UEFA,11
Ghana,3,2,2,1,1,1,0,4,Ghana,L,CAF,49
Panama,3,0,4,0,0,3,-4,0,Panama,L,CONCACAF,34
