team_id,avg_possession,total_shots,total_sot,total_corners,total_fouls,total_offsides,total_saves,matches,shot_accuracy,fouls_pg,team_name,group_letter,confederation,fifa_ranking_pre_tournament,elo_rating,manager_name,fifa_code,goals_for,goals_against,total_xg,yellow_cards,red_cards,deepest_stage
17,61.0,41,20,16,17,2,3,2,48.8,8.5,Germany,E,UEFA,10,1970,Julian Nagelsmann,GER,10.0,4.0,8.22,0,0,Group Stage
5,51.0,71,29,37,47,8,6,4,40.8,11.75,Canada,B,CONCACAF,33,1795,Jesse Marsch,CAN,9.0,3.0,7.84,3,0,Round of 32
21,54.5,20,12,12,18,4,5,2,60.0,9.0,Netherlands,F,UEFA,8,1980,Ronald Koeman,NED,10.0,4.0,7.55,0,0,Group Stage
29,70.5,41,16,17,16,5,7,2,39.0,8.0,Spain,H,UEFA,2,2120,Luis de la Fuente,ESP,5.0,0.0,6.78,0,0,Group Stage
37,58.67,34,15,9,33,5,2,3,44.1,11.0,Argentina,J,CONMEBOL,1,2150,Lionel Scaloni,ARG,8.0,1.0,6.56,0,0,Group Stage
25,58.0,38,11,6,22,1,4,2,28.9,11.0,Belgium,G,UEFA,9,1950,Domenico Tedesco,BEL,6.0,2.0,6.28,1,1,Group Stage
36,52.0,32,16,12,34,1,7,3,50.0,11.33,Norway,I,UEFA,44,1775,Ståle Solbakken,NOR,8.0,7.0,6.1,1,0,Group Stage
22,50.5,23,10,9,22,2,4,2,43.5,11.0,Japan,F,AFC,18,1880,Hajime Moriyasu,JPN,7.0,3.0,6.06,0,0,Group Stage
41,58.33,38,11,14,25,6,12,3,28.9,8.33,Portugal,K,UEFA,5,2010,Roberto Martínez,POR,6.0,1.0,6.05,0,0,Group Stage
33,52.67,47,22,15,20,6,6,3,46.8,6.67,France,I,UEFA,3,2100,Didier Deschamps,FRA,10.0,2.0,5.61,1,0,Group Stage
34,53.67,44,18,20,24,4,8,3,40.9,8.0,Senegal,I,CAF,15,1840,Pape Thiaw,SEN,8.0,6.0,5.54,2,0,Group Stage
45,58.0,50,20,21,31,8,8,3,40.0,10.33,England,L,UEFA,4,2050,Thomas Tuchel,ENG,6.0,2.0,5.43,2,0,Group Stage
13,57.0,26,8,10,25,3,2,2,30.8,12.5,USA,D,CONCACAF,17,1850,Mauricio Pochettino,USA,8.0,4.0,5.42,3,0,Group Stage
44,56.33,53,14,14,34,6,6,3,26.4,11.33,Colombia,K,CONMEBOL,13,1990,Néstor Lorenzo,COL,4.0,1.0,5.34,1,0,Group Stage
9,57.0,26,11,11,26,2,3,2,42.3,13.0,Brazil,C,CONMEBOL,6,2030,Carlo Ancelotti,BRA,7.0,1.0,4.96,1,0,Group Stage
23,46.0,29,15,7,24,6,8,2,51.7,12.0,Sweden,F,UEFA,25,1815,Jon Dahl Tomasson,SWE,7.0,7.0,4.95,0,0,Group Stage
1,52.0,35,13,7,33,4,4,3,37.1,11.0,Mexico,A,CONCACAF,14,1810,Javier Aguirre,MEX,6.0,0.0,4.73,2,1,Group Stage
8,56.67,45,18,19,33,2,9,3,40.0,11.0,Switzerland,B,UEFA,19,1860,Murat Yakin,SUI,7.0,3.0,4.7,1,0,Group Stage
32,64.0,44,17,25,17,3,4,2,38.6,8.5,Uruguay,H,CONMEBOL,16,1960,Marcelo Bielsa,URU,3.0,4.0,4.19,0,0,Group Stage
20,56.0,40,16,14,26,3,18,2,40.0,13.0,Ecuador,E,CONMEBOL,23,1870,Sebastián Beccacece,ECU,2.0,2.0,4.15,0,0,Group Stage
26,46.5,33,10,11,23,2,4,2,30.3,11.5,Egypt,G,CAF,36,1730,Hossam Hassan,EGY,5.0,3.0,4.12,0,0,Group Stage
42,43.67,35,8,9,30,6,7,3,22.9,10.0,Congo DR,K,CAF,61,1670,Sébastien Desabre,COD,4.0,3.0,4.08,3,0,Group Stage
10,52.0,26,7,7,24,3,6,2,26.9,12.0,Morocco,C,CAF,7,1920,Walid Regragui,MAR,6.0,3.0,3.99,0,0,Group Stage
39,49.67,26,8,10,32,7,6,3,30.8,10.67,Austria,J,UEFA,24,1830,Ralf Rangnick,AUT,6.0,6.0,3.97,1,0,Group Stage
38,57.33,37,12,9,20,4,5,3,32.4,6.67,Algeria,J,CAF,28,1760,Vladimir Petković,ALG,5.0,7.0,3.96,0,0,Group Stage
4,42.67,37,7,13,34,5,9,3,18.9,11.33,Czechia,A,UEFA,40,1740,Miroslav Koubek,CZE,2.0,6.0,3.57,1,0,Group Stage
46,50.67,33,13,10,31,5,7,3,39.4,10.33,Croatia,L,UEFA,11,1940,Zlatko Dalić,CRO,5.0,5.0,3.54,1,0,Group Stage
19,41.0,24,7,6,20,4,9,2,29.2,10.0,Côte d'Ivoire,E,CAF,38,1750,Emerse Faé,CIV,4.0,2.0,3.5,0,0,Group Stage
3,57.67,29,10,12,26,5,8,3,34.5,8.67,South Korea,A,AFC,22,1800,Hong Myung-bo,KOR,2.0,3.0,3.42,1,0,Group Stage
27,36.5,24,6,6,19,5,13,2,25.0,9.5,IR Iran,G,AFC,20,1820,Amir Ghalenoei,IRN,3.0,3.0,3.42,0,0,Group Stage
6,39.0,27,11,12,41,3,12,3,40.7,13.67,Bosnia and Herzegovina,B,UEFA,64,1645,Sergej Barbarez,BIH,5.0,6.0,3.34,1,1,Group Stage
11,42.5,18,1,7,24,3,9,2,5.6,12.0,Haiti,C,CONCACAF,83,1530,Sébastien Migné,HAI,2.0,8.0,3.27,3,0,Group Stage
2,48.25,39,11,12,47,6,17,4,28.2,11.75,South Africa,A,CAF,60,1620,Hugo Broos,RSA,2.0,4.0,3.06,2,2,Round of 32
47,41.0,22,5,7,34,4,10,3,22.7,11.33,Ghana,L,CAF,49,1690,Carlos Queiroz,GHA,2.0,2.0,2.93,2,0,Group Stage
16,64.5,62,12,20,18,5,4,2,19.4,9.0,Türkiye,D,UEFA,26,1780,Vincenzo Montella,TUR,3.0,5.0,2.74,0,0,Group Stage
