team_id,avg_possession,total_shots,total_sot,total_corners,total_fouls,total_offsides,total_saves,matches_played,shot_accuracy_pct,team_name,group_letter,confederation,yellow_cards,red_cards
1,52.0,35,13,7,33,4,4,3,37.1,Mexico,A,CONCACAF,2.0,1.0
2,48.25,39,11,12,47,6,17,4,28.2,South Africa,A,CAF,2.0,2.0
3,57.67,29,10,12,26,5,8,3,34.5,South Korea,A,AFC,1.0,0.0
4,42.67,37,7,13,34,5,9,3,18.9,Czechia,A,UEFA,1.0,0.0
5,51.0,71,29,37,47,8,6,4,40.8,Canada,B,CONCACAF,3.0,0.0
6,39.0,27,11,12,41,3,12,3,40.7,Bosnia and Herzegovina,B,UEFA,1.0,1.0
7,31.33,17,6,9,36,5,16,3,35.3,Qatar,B,AFC,1.0,2.0
8,56.67,45,18,19,33,2,9,3,40.0,Switzerland,B,UEFA,1.0,0.0
9,57.0,26,11,11,26,2,3,2,42.3,Brazil,C,CONMEBOL,1.0,0.0
10,52.0,26,7,7,24,3,6,2,26.9,Morocco,C,CAF,0.0,0.0
11,42.5,18,1,7,24,3,9,2,5.6,Haiti,C,CONCACAF,3.0,0.0
12,48.5,18,3,8,22,4,4,2,16.7,Scotland,C,UEFA,0.0,0.0
13,57.0,26,8,10,25,3,2,2,30.8,USA,D,CONCACAF,3.0,0.0
14,30.33,24,5,2,41,4,19,3,20.8,Paraguay,D,CONMEBOL,1.0,1.0
15,37.67,26,11,12,34,1,7,3,42.3,Australia,D,AFC,5.0,0.0
16,64.5,62,12,20,18,5,4,2,19.4,Türkiye,D,UEFA,0.0,0.0
17,61.0,41,20,16,17,2,3,2,48.8,Germany,E,UEFA,0.0,0.0
18,37.0,13,2,1,26,3,20,2,15.4,Curaçao,E,CONCACAF,1.0,0.0
19,41.0,24,7,6,20,4,9,2,29.2,Côte d'Ivoire,E,CAF,0.0,0.0
20,56.0,40,16,14,26,3,18,2,40.0,Ecuador,E,CONMEBOL,0.0,0.0
21,54.5,20,12,12,18,4,5,2,60.0,Netherlands,F,UEFA,0.0,0.0
22,50.5,23,10,9,22,2,4,2,43.5,Japan,F,AFC,0.0,0.0
23,46.0,29,15,7,24,6,8,2,51.7,Sweden,F,UEFA,0.0,0.0
24,44.5,9,3,5,16,3,7,2,33.3,Tunisia,F,CAF,0.0,0.0
25,58.0,38,11,6,22,1,4,2,28.9,Belgium,G,UEFA,1.0,1.0
26,46.5,33,10,11,23,2,4,2,30.3,Egypt,G,CAF,0.0,0.0
27,36.5,24,6,6,19,5,13,2,25.0,IR Iran,G,AFC,0.0,0.0
28,42.0,25,11,5,22,3,11,2,44.0,New Zealand,G,OFC,0.0,0.0
29,70.5,41,16,17,16,5,7,2,39.0,Spain,H,UEFA,0.0,0.0
30,37.33,33,8,9,15,6,15,3,24.2,Cabo Verde,H,CAF,1.0,0.0
31,36.33,18,7,7,37,4,18,3,38.9,Saudi Arabia,H,AFC,3.0,0.0
32,64.0,44,17,25,17,3,4,2,38.6,Uruguay,H,CONMEBOL,0.0,0.0
33,52.67,47,22,15,20,6,6,3,46.8,France,I,UEFA,1.0,0.0
34,53.67,44,18,20,24,4,8,3,40.9,Senegal,I,CAF,2.0,0.0
35,36.33,21,2,10,27,2,16,3,9.5,Iraq,I,AFC,2.0,1.0
36,52.0,32,16,12,34,1,7,3,50.0,Norway,I,UEFA,1.0,0.0
37,58.67,34,15,9,33,5,2,3,44.1,Argentina,J,CONMEBOL,0.0,0.0
38,57.33,37,12,9,20,4,5,3,32.4,Algeria,J,CAF,0.0,0.0
39,49.67,26,8,10,32,7,6,3,30.8,Austria,J,UEFA,1.0,0.0
40,29.67,22,6,7,32,3,11,3,27.3,Jordan,J,AFC,3.0,0.0
41,58.33,38,11,14,25,6,12,3,28.9,Portugal,K,UEFA,0.0,0.0
42,43.67,35,8,9,30,6,7,3,22.9,Congo DR,K,CAF,3.0,0.0
43,35.67,16,4,9,42,5,10,3,25.0,Uzbekistan,K,AFC,2.0,0.0
44,56.33,53,14,14,34,6,6,3,26.4,Colombia,K,CONMEBOL,1.0,0.0
45,58.0,50,20,21,31,8,8,3,40.0,England,L,UEFA,2.0,0.0
46,50.67,33,13,10,31,5,7,3,39.4,Croatia,L,UEFA,1.0,0.0
47,41.0,22,5,7,34,4,10,3,22.7,Ghana,L,CAF,2.0,0.0
48,44.0,31,7,7,41,8,8,3,22.6,Panama,L,CONCACAF,3.0,0.0
