team_id,total_xg,team_name
17.0,8.22,Germany
5.0,7.84,Canada
21.0,7.55,Netherlands
29.0,6.78,Spain
37.0,6.56,Argentina
25.0,6.28,Belgium
36.0,6.1,Norway
22.0,6.06,Japan
41.0,6.05,Portugal
33.0,5.61,France
34.0,5.54,Senegal
45.0,5.43,England
13.0,5.42,USA
44.0,5.34,Colombia
9.0,4.96,Brazil
23.0,4.95,Sweden
1.0,4.73,Mexico
8.0,4.7,Switzerland
32.0,4.19,Uruguay
20.0,4.15,Ecuador
26.0,4.12,Egypt
42.0,4.08,Congo DR
10.0,3.99,Morocco
39.0,3.97,Austria
38.0,3.96,Algeria
4.0,3.57,Czechia
46.0,3.54,Croatia
19.0,3.5,Côte d'Ivoire
3.0,3.42,South Korea
27.0,3.42,IR Iran
6.0,3.34,Bosnia and Herzegovina
11.0,3.27,Haiti
2.0,3.06,South Africa
47.0,2.93,Ghana
16.0,2.74,Türkiye
40.0,2.52,Jordan
15.0,2.28,Australia
28.0,2.23,New Zealand
12.0,2.07,Scotland
7.0,1.95,Qatar
30.0,1.87,Cabo Verde
48.0,1.86,Panama
24.0,1.75,Tunisia
14.0,1.73,Paraguay
43.0,1.57,Uzbekistan
31.0,1.48,Saudi Arabia
35.0,1.27,Iraq
18.0,0.84,Curaçao
