player,team,position,age_2026,overall_rating,shooting_composite,age_factor,expected_goals_total,expected_assists_total,expected_g_plus_a,xg_per_game,expected_remaining_games,xg_ci_low,xg_ci_high,current_goals,current_assists,current_mins,current_matches,card_risk_for_team,group,confederation,fifa_rank,rank,golden_boot_prob_pct,wc2022_xg,wc2022_shots,wc2022_g90_equiv,career_g90,career_minutes_sample,attribute_g90,blended_g90,xg_data_source
Lionel Messi,Argentina,Second Striker,38,93,0.778,0.55,6.16,0.63,4.24,0.6442,4.9,4.44,8.13,6.0,0,84,1,Low,J,CONMEBOL,1,1,6.73,7.598649225,34,1.5197,,0.0,0.2353,1.3362142857142858,WC2022 actual + FIFA model
Kylian Mbappé,France,Center Forward,27,95,0.775,0.98,5.08,0.74,3.29,0.4804,4.7,3.66,6.71,4.0,0,180,2,Low,I,UEFA,3,2,4.77,5.016751877,32,1.0034,,0.0,0.4177,0.9197285714285715,WC2022 actual + FIFA model
Pedri,Spain,Central Midfield,23,89,0.675,1.0,2.88,1.42,2.36,0.1644,4.8,2.07,3.8,1.0,1,180,2,Low,H,UEFA,2,3,1.75,,0,,0.5625,4320.0,0.3713,0.5147,club season + FIFA model
Hakan Çalhanoğlu,Türkiye,Central Midfield,30,85,0.682,0.93,2.78,0.59,1.1,0.1485,2.4,2.0,3.67,1.0,0,180,2,Low,D,UEFA,22,4,0.95,,0,,0.8581862446743762,4929.0,0.3488,0.7308396835057822,club season + FIFA model
Harry Kane,England,Center Forward,32,92,0.748,0.87,2.47,0.58,2.68,0.4301,4.2,1.78,3.26,3.0,0,180,2,Low,L,UEFA,4,5,3.93,2.330979943,12,0.4662,0.6710853355426678,2414.0,0.3579,0.47883390029563727,WC2022 actual + club season + FIFA model
James Rodríguez,Colombia,Attacking Midfield,34,84,0.669,0.78,2.44,0.78,1.09,0.0939,3.3,1.76,3.22,0.0,0,180,1,Low,K,CONMEBOL,13,6,0.58,0.13848205,1,0.0277,0.6312381980037767,3707.0,0.287,0.5451786485028325,club season + FIFA model
Jude Bellingham,England,Attacking Midfield,22,90,0.693,0.93,2.05,1.32,2.35,0.2104,4.2,1.48,2.71,2.0,1,180,2,Low,L,UEFA,4,7,1.92,0.841256374,5,0.1683,0.8708756345177665,6304.0,0.3545,0.39769269035532995,WC2022 actual + club season + FIFA model
Erling Haaland,Norway,Center Forward,25,96,0.782,1.0,2.02,0.68,2.76,0.492,3.6,1.45,2.67,4.0,1,180,2,Low,I,UEFA,31,8,3.86,,0,,,0.0,0.4301,0.4301,FIFA model
Mikel Oyarzabal,Spain,Left Wing,27,86,0.698,0.98,2.01,1.04,2.5,0.2717,4.8,1.45,2.65,2.0,0,156,2,Low,H,UEFA,2,9,2.7,,0,,,0.0,0.3762,0.3762,FIFA model
Lamine Yamal,Spain,Right Wing,18,90,0.714,0.82,1.8,1.16,2.01,0.1759,4.8,1.3,2.38,1.0,2,180,2,Low,H,UEFA,2,10,1.57,,0,,,0.0,0.322,0.322,FIFA model
